Region,State,Metro,County,Code
Radnor,PA,Philadelphia,Delaware,s01985
Town of Canandaigua,NY,Rochester,Ontario,s01986
O Fallon,IL,St. Louis,Saint Clair,s01987
Sun City Center,FL,Tampa,Hillsborough,s01988
Siloam Springs,AR,Fayetteville,Benton,s01989
Lino Lakes,MN,Minneapolis-St Paul,Anoka,s01990
Loudon,TN,Knoxville,Loudon,s01991
Milwaukie,OR,Portland,Clackamas,s01992
Dallas,OR,Salem,Polk,s01993
Perry,FL,,Taylor,s01994
Rocky River,OH,Cleveland,Cuyahoga,s01995
Amelia,OH,Cincinnati,Clermont,s01996
Coolbaugh,PA,East Stroudsburg,Monroe,s01997
Hatfield Township,PA,Philadelphia,Montgomery,s01998
Niles,OH,Youngstown,Trumbull,s01999
Farragut,TN,Knoxville,Knox,s02000
White Center,WA,Seattle,King,s02001
Ojai,CA,Ventura,Ventura,s02002
Enumclaw,WA,Seattle,King,s02003
Fort Valley,GA,Fort Valley,Peach,s02004
Blairsville,GA,,Union,s02005
Gardner,MA,Worcester,Worcester,s02006
Madison,OH,Cleveland,Lake,s02007
Monroe Township,NJ,Philadelphia,Gloucester,s02008
Shorewood,IL,Chicago,Will,s02009
South El Monte,CA,Los Angeles,Los Angeles,s02010
Chehalis,WA,Centralia,Lewis,s02011
Town of New Windsor,NY,Poughkeepsie,Orange,s02012
East Ridge,TN,Chattanooga,Hamilton,s02013
Louisville,OH,Canton,Stark,s02014
Lyndhurst,NJ,New York,Bergen,s02015
Mount Holly,NC,Charlotte,Gaston,s02016
Arcata,CA,Eureka,Humboldt,s02017
North Tustin,CA,Los Angeles,Orange,s02018
Rutherfordton,NC,Forest City,Rutherford,s02019
The Dalles,OR,City of The Dalles,Wasco,s02020
Penn Township,PA,Pittsburgh,Westmoreland,s02021
Pleasantville,NJ,Atlantic City,Atlantic,s02022
Marina,CA,Salinas,Monterey,s02023
Tukwila,WA,Seattle,King,s02024
Kerman,CA,Fresno,Fresno,s02025
Buckingham,PA,Philadelphia,Bucks,s02026
Matteson,IL,Chicago,Cook,s02027
Barnegat Township,NJ,New York,Ocean,s02028
Ypsilanti,MI,Ann Arbor,Washtenaw,s02029
Upper Macungie,PA,Allentown,Lehigh,s02030
Belleview,FL,Ocala,Marion,s02031
Trussville,AL,Birmingham,Jefferson,s02032
Central Falls,RI,Providence,Providence,s02033
Paris,TN,Paris,Henry,s02034
Brevard,NC,Brevard,Transylvania,s02035
Berlin,CT,Hartford,Hartford,s02036
Grayslake,IL,Chicago,Lake,s02037
Columbia Heights,MN,Minneapolis-St Paul,Anoka,s02038
Town of Mamaroneck,NY,New York,Westchester,s02039
Valinda,CA,Los Angeles,Los Angeles,s02040
Bloomfield,CT,Hartford,Hartford,s02041
Chambersburg,PA,Chambersburg,Franklin,s02042
Southbury,CT,New Haven,New Haven,s02043
Brawley,CA,El Centro,Imperial,s02044
McKeesport,PA,Pittsburgh,Allegheny,s02045
Salmon Creek,WA,Portland,Clark,s02046
Ansonia,CT,New Haven,New Haven,s02047
Shafter,CA,Bakersfield,Kern,s02048
West Saint Paul,MN,Minneapolis-St Paul,Dakota,s02049
Lomita,CA,Los Angeles,Los Angeles,s02050
Edgewater,MD,Baltimore,Anne Arundel,s02051
Palisades Park,NJ,New York,Bergen,s02052
Guilford,CT,New Haven,New Haven,s02053
Bay Minette,AL,Daphne,Baldwin,s02054
Northfield,OH,Akron,Summit,s02055
New Canaan,CT,Stamford,Fairfield,s02056
Spring Lake,NC,Dunn,Harnett,s02057
Windermere,FL,Orlando,Orange,s02058
Copiague,NY,New York,Suffolk,s02059
Birmingham,MI,Detroit,Oakland,s02060
East Windsor,NJ,Trenton,Mercer,s02061
East Moline,IL,Davenport,Rock Island,s02062
Belmont,NC,Charlotte,Gaston,s02063
Arvin,CA,Bakersfield,Kern,s02064
King of Prussia,PA,Philadelphia,Montgomery,s02065
Rosedale,MD,Baltimore,Baltimore,s02066
Ocean Township,NJ,New York,Monmouth,s02067
Suwanee,GA,Atlanta,Gwinnett,s02068
Exeter Township,PA,Reading,Berks,s02069
East Falmouth,MA,Cape Cod,Barnstable,s02070
Belle Glade,FL,Miami-Fort Lauderdale,Palm Beach,s02071
Rockaway Township,NJ,New York,Morris,s02072
Cheney,WA,Spokane,Spokane,s02073
Springboro,OH,Cincinnati,Warren,s02074
La Crescenta-Montrose,CA,Los Angeles,Los Angeles,s02075
Lochearn,MD,Baltimore,Baltimore,s02076
Rocky Mount,VA,Roanoke,Franklin,s02077
Cartersville,GA,Atlanta,Bartow,s02078
West Puente Valley,CA,Los Angeles,Los Angeles,s02079
Town of Warwick,NY,Poughkeepsie,Orange,s02080
Hyattsville,MD,Washington,Prince Georges,s02081
Eloy,AZ,Phoenix,Pinal,s02082
Vernon Township,NJ,New York,Sussex,s02083
Hermosa Beach,CA,Los Angeles,Los Angeles,s02084
Amherst,MA,Springfield,Hampshire,s02085
Rosamond,CA,Bakersfield,Kern,s02086
Debary,FL,Daytona Beach,Volusia,s02087
Town of Hudson,MA,Boston,Middlesex,s02088
Lake Forest,IL,Chicago,Lake,s02089
Woodbridge Township,NJ,New York,Middlesex,s02090
Calabasas,CA,Los Angeles,Los Angeles,s02091
Lynbrook,NY,New York,Nassau,s02092
Gaston,SC,Columbia,Lexington,s02093
West Mifflin,PA,Pittsburgh,Allegheny,s02094
Belton,SC,Anderson,Anderson,s02095
Monroe,CT,Stamford,Fairfield,s02096
Wilsonville,OR,Portland,Clackamas,s02097
Willowbrook,CA,Los Angeles,Los Angeles,s02098
Broadview Heights,OH,Cleveland,Cuyahoga,s02099
Truckee,CA,Truckee,Nevada,s02100
Decatur,GA,Atlanta,Dekalb,s02101
Pelham,AL,Birmingham,Shelby,s02102
Nevada City,CA,Truckee,Nevada,s02103
Elmwood Park,NJ,New York,Bergen,s02104
Fern Creek,KY,Louisville/Jefferson County,Jefferson,s02105
Park Forest,IL,Chicago,Cook,s02106
Darby Township,PA,Philadelphia,Delaware,s02107
Healdsburg,CA,Santa Rosa,Sonoma,s02108
Town of Groton,CT,New London,New London,s02109
Mountlake Terrace,WA,Seattle,Snohomish,s02110
Sturgis,MI,Sturgis,Saint Joseph,s02111
Ionia,MI,Grand Rapids,Ionia,s02112
Hopewell Township,NJ,Trenton,Mercer,s02113
Lafayette,GA,Chattanooga,Walker,s02114
Norton,MA,Providence,Bristol,s02115
Morrison,CO,Denver,Jefferson,s02116
Mount Olive,NC,,Duplin,s02117
Bloomington,CA,Riverside,San Bernardino,s02118
Greenfield,CA,Salinas,Monterey,s02119
Lynden,WA,Bellingham,Whatcom,s02120
Cortlandt Manor,NY,New York,Westchester,s02121
East Greenwich,RI,Providence,Kent,s02122
Carmel,NY,New York,Putnam,s02123
Flushing Township,MI,Flint,Genesee,s02124
Norwood,OH,Cincinnati,Hamilton,s02125
Berea,OH,Cleveland,Cuyahoga,s02126
Libertyville,IL,Chicago,Lake,s02127
Cortland,NY,Cortland,Cortland,s02128
Grand Chute,WI,Appleton,Outagamie,s02129
Travelers Rest,SC,Greenville,Greenville,s02130
Sebastian,FL,Vero Beach,Indian River,s02131
Eastman,GA,,Dodge,s02132
Bensenville,IL,Chicago,Du Page,s02133
Troutdale,OR,Portland,Multnomah,s02134
Montgomery,IL,Chicago,Kendall,s02135
Brook Park,OH,Cleveland,Cuyahoga,s02136
Fountain Inn,SC,Greenville,Greenville,s02137
Rocky Hill,CT,Hartford,Hartford,s02138
Show Low,AZ,Show Low,Navajo,s02139
Morristown,NJ,New York,Morris,s02140
Perry,GA,Warner Robins,Houston,s02141
Roscoe,IL,Rockford,Winnebago,s02142
Mayfield Heights,OH,Cleveland,Cuyahoga,s02143
Iselin,NJ,New York,Middlesex,s02144
Erlanger,KY,Cincinnati,Kenton,s02145
South Whitehall Township,PA,Allentown,Lehigh,s02146
Lanham Seabrook,MD,Washington,Prince Georges,s02147
Town of Monroe,NY,Poughkeepsie,Orange,s02148
Wendell,NC,Raleigh,Wake,s02149
Brookfield,IL,Chicago,Cook,s02150
North Druid Hills,GA,Atlanta,Dekalb,s02151
Cortland,OH,Youngstown,Trumbull,s02152
Winthrop,MA,Boston,Suffolk,s02153
Chickamauga,GA,Chattanooga,Walker,s02154
Mt Olive Township,NJ,New York,Morris,s02155
Orchards,WA,Portland,Clark,s02156
Maple Shade,NJ,Philadelphia,Burlington,s02157
Upper Saint Clair,PA,Pittsburgh,Allegheny,s02158
Byron,GA,Fort Valley,Peach,s02159
Lafollette,TN,La Follette,Campbell,s02160
Evergreen Park,IL,Chicago,Cook,s02161
Hawthorne,NJ,New York,Passaic,s02162
Pinole,CA,San Francisco,Contra Costa,s02163
Kings Park,NY,New York,Suffolk,s02164
Town of Walpole,MA,Boston,Norfolk,s02165
Saint Johns,MI,Lansing,Clinton,s02166
Labelle,FL,Clewiston,Hendry,s02167
Sun City,CA,Riverside,Riverside,s02168
Stephens City,VA,Winchester,Frederick,s02169
Kingsland,GA,St. Marys,Camden,s02170
Coshocton,OH,Coshocton,Coshocton,s02171
Trenton,MI,Detroit,Wayne,s02172
Palm Springs,FL,Miami-Fort Lauderdale,Palm Beach,s02173
Five Corners,WA,Portland,Clark,s02174
Clarkston,WA,Lewiston,Asotin,s02175
Ashland,VA,Richmond,Hanover,s02176
Citrus Ridge,FL,Orlando,Osceola,s02177
Point Pleasant,NJ,New York,Ocean,s02178
Wheatfield,NY,Buffalo,Niagara,s02179
Town of Owego,NY,Binghamton,Tioga,s02180
Chapin,SC,Columbia,Lexington,s02181
Bellwood,IL,Chicago,Cook,s02182
New Smyrna Beach,FL,Daytona Beach,Volusia,s02183
Mineola,NY,New York,Nassau,s02184
Marlboro,NJ,New York,Monmouth,s02185
Sedona,AZ,Prescott,Yavapai,s02186
Cimarron Hills,CO,Colorado Springs,El Paso,s02187
Sun Valley,NV,Reno,Washoe,s02188
Town of Bethel,CT,Stamford,Fairfield,s02189
Nipomo,CA,San Luis Obispo,San Luis Obispo,s02190
Lafayette,CO,Boulder,Boulder,s02191
Carrollton,GA,Atlanta,Carroll,s02192
Glassboro,NJ,Philadelphia,Gloucester,s02193
Woodstock,IL,Chicago,McHenry,s02194
Mill Creek,WA,Seattle,Snohomish,s02195
Spring Township,PA,Reading,Berks,s02196
Hood River,OR,Hood River,Hood River,s02197
Forest Lake,MN,Minneapolis-St Paul,Washington,s02198
Pittsboro,NC,Durham,Chatham,s02199
Town of Germantown,WI,Milwaukee,Washington,s02200
Denver,NC,Lincolnton,Lincoln,s02201
Suitland-Silver Hill,MD,Washington,Prince Georges,s02202
Syosset,NY,New York,Nassau,s02203
Town of Pewaukee,WI,Milwaukee,Waukesha,s02204
Manchester Township,PA,York,York,s02205
Eastlake,OH,Cleveland,Lake,s02206
East Peoria,IL,Peoria,Tazewell,s02207
Muhlenberg Township,PA,Reading,Berks,s02208
Carlisle,PA,Harrisburg,Cumberland,s02209
Newtown Township,PA,Philadelphia,Bucks,s02210
Albany,CA,San Francisco,Alameda,s02211
Avon,CT,Hartford,Hartford,s02212
Norfolk,NE,Norfolk,Madison,s02213
Mukilteo,WA,Seattle,Snohomish,s02214
Chatham Township,NJ,New York,Morris,s02215
Big Lake,MN,Minneapolis-St Paul,Sherburne,s02216
South Burlington,VT,Burlington,Chittenden,s02217
Town of Oneonta,NY,Oneonta,Otsego,s02218
Kapaa,HI,Kapaa,Kauai,s02219
Weaverville,NC,Asheville,Buncombe,s02220
Tavares,FL,Orlando,Lake,s02221
Sharpsburg,GA,Atlanta,Coweta,s02222
Half Moon Bay,CA,San Francisco,San Mateo,s02223
Lake Worth Corridor,FL,Miami-Fort Lauderdale,Palm Beach,s02224
Town of Oconomowoc,WI,Milwaukee,Waukesha,s02225
Madison,CT,New Haven,New Haven,s02226
South San Jose Hills,CA,Los Angeles,Los Angeles,s02227
Dover,OH,New Philadelphia,Tuscarawas,s02228
Oakton,VA,Washington,Fairfax,s02229
Farmingville,NY,New York,Suffolk,s02230
Hybla Valley,VA,Washington,Fairfax,s02231
Prineville,OR,Prineville,Crook,s02232
Limerick,PA,Philadelphia,Montgomery,s02233
Pennsauken,NJ,Philadelphia,Camden,s02234
Allegan,MI,Allegan,Allegan,s02235
Three Rivers,MI,Sturgis,Saint Joseph,s02236
Lincoln,RI,Providence,Providence,s02237
Harrison,OH,Cincinnati,Hamilton,s02238
Louisville,CO,Boulder,Boulder,s02239
Fillmore,CA,Ventura,Ventura,s02240
Starke,FL,,Bradford,s02241
Bethany,OK,Oklahoma City,Oklahoma,s02242
Hampton Township,PA,Pittsburgh,Allegheny,s02243
Dover,NJ,New York,Morris,s02244
Ripley,TN,,Lauderdale,s02245
Crystal River,FL,Homosassa Springs,Citrus,s02246
Colchester,VT,Burlington,Chittenden,s02247
Alsip,IL,Chicago,Cook,s02248
Forest Park,OH,Cincinnati,Hamilton,s02249
Westborough,MA,Worcester,Worcester,s02250
Wilton,CT,Stamford,Fairfield,s02251
Delhi Township,MI,Lansing,Ingham,s02252
Homewood,IL,Chicago,Cook,s02253
Guyton,GA,Savannah,Effingham,s02254
Colonia,NJ,New York,Middlesex,s02255
Sayreville,NJ,New York,Middlesex,s02256
Cudahy,WI,Milwaukee,Milwaukee,s02257
Tinton Falls,NJ,New York,Monmouth,s02258
Whitehall,OH,Columbus,Franklin,s02259
Kernersville,NC,Winston-Salem,Forsyth,s02260
Cambridge,MD,Cambridge,Dorchester,s02261
Lynn Haven,FL,Panama City,Bay,s02262
Chanhassen,MN,Minneapolis-St Paul,Carver,s02263
Exton,PA,Philadelphia,Chester,s02264
Concord,MA,Boston,Middlesex,s02265
Sterling,CO,Sterling,Logan,s02266
Forest Hill,MD,Baltimore,Harford,s02267
West Melbourne,FL,Melbourne,Brevard,s02268
East Cleveland,OH,Cleveland,Cuyahoga,s02269
Vinton,VA,Roanoke,Roanoke,s02270
Coralville,IA,Iowa City,Johnson,s02271
South Hadley,MA,Springfield,Hampshire,s02272
Lathrop,CA,Stockton,San Joaquin,s02273
Somerset,MA,Providence,Bristol,s02274
Lower Allen Township,PA,Harrisburg,Cumberland,s02275
Plainville,CT,Hartford,Hartford,s02276
Farmington,CT,Hartford,Hartford,s02277
Pulaski,TN,,Giles,s02278
Bridgeport,WV,Clarksburg,Harrison,s02279
Cottage Grove,OR,Eugene,Lane,s02280
Portsmouth,RI,Providence,Newport,s02281
Sudbury,MA,Boston,Middlesex,s02282
Sherrelwood,CO,Denver,Adams,s02283
Ogden,NY,Rochester,Monroe,s02284
Arden,NC,Asheville,Buncombe,s02285
Hopkins,MN,Minneapolis-St Paul,Hennepin,s02286
Rutherford,NJ,New York,Bergen,s02287
Mokena,IL,Chicago,Will,s02288
Somerset Township,PA,Somerset,Somerset,s02289
Deerfield,IL,Chicago,Lake,s02290
Pinecrest,FL,Miami-Fort Lauderdale,Miami-Dade,s02291
Randleman,NC,Greensboro,Randolph,s02292
Lindenwold,NJ,Philadelphia,Camden,s02293
Gaines Township,MI,Grand Rapids,Kent,s02294
Taft,CA,Bakersfield,Kern,s02295
Highview,KY,Louisville/Jefferson County,Jefferson,s02296
Lindsay,CA,Visalia,Tulare,s02297
Makawao,HI,Kahului,Maui,s02298
Ripon,CA,Stockton,San Joaquin,s02299
Great Falls,VA,Washington,Fairfax,s02300
Back Mountain,PA,Scranton,Luzerne,s02301
Saint Helens,OR,Portland,Columbia,s02302
Town of Sharon,MA,Boston,Norfolk,s02303
Cedar Springs,MI,Grand Rapids,Kent,s02304
Wayne,MI,Detroit,Wayne,s02305
Three Lakes,FL,Miami-Fort Lauderdale,Miami-Dade,s02306
Pembroke,MA,Boston,Plymouth,s02307
Jenks,OK,Tulsa,Tulsa,s02308
Tipp City,OH,Dayton,Miami,s02309
Westlake Village,CA,Ventura,Ventura,s02310
Waukee,IA,Des Moines,Dallas,s02311
Willimantic,CT,Willimantic,Windham,s02312
Lexington,TN,,Henderson,s02313
Howard,WI,Green Bay,Brown,s02314
Windsor Township,PA,York,York,s02315
Upper Allen,PA,Harrisburg,Cumberland,s02316
Union,NY,Binghamton,Broome,s02317
Temple,GA,Atlanta,Carroll,s02318
Selah,WA,Yakima,Yakima,s02319
Safford,AZ,Safford,Graham,s02320
Haines City,FL,Lakeland,Polk,s02321
Orinda,CA,San Francisco,Contra Costa,s02322
Dumont,NJ,New York,Bergen,s02323
Tallmadge,OH,Akron,Summit,s02324
Hibbing,MN,Duluth,Saint Louis,s02325
Town of Bedford,NY,New York,Westchester,s02326
Mustang,OK,Oklahoma City,Canadian,s02327
South Elgin,IL,Chicago,Kane,s02328
Thomson,GA,Augusta,McDuffie,s02329
Angier,NC,Dunn,Harnett,s02330
Town of Scituate,MA,Boston,Plymouth,s02331
New Richmond,WI,Minneapolis-St Paul,Saint Croix,s02332
Alpine,CA,San Diego,San Diego,s02333
Bonaire,GA,Warner Robins,Houston,s02334
Plainsboro Township,NJ,New York,Middlesex,s02335
East Lampeter Township,PA,Lancaster,Lancaster,s02336
Fort Morgan,CO,Fort Morgan,Morgan,s02337
Rockmart,GA,Cedartown,Polk,s02338
Melville,NY,New York,Suffolk,s02339
Town of Corning,NY,Corning,Steuben,s02340
Butler Township,PA,Pittsburgh,Butler,s02341
Humboldt,TN,Humboldt,Gibson,s02342
Scott Township,PA,Pittsburgh,Allegheny,s02343
Wappinger,NY,Poughkeepsie,Dutchess,s02344
Saint Clairsville,OH,Wheeling,Belmont,s02345
Town of Foxborough,MA,Boston,Norfolk,s02346
McKinleyville,CA,Eureka,Humboldt,s02347
Newburyport,MA,Boston,Essex,s02348
Bridgeview,IL,Chicago,Cook,s02349
Rockland,MA,Boston,Plymouth,s02350
Scarsdale,NY,New York,Westchester,s02351
Watkinsville,GA,Athens,Oconee,s02352
Hauppauge,NY,New York,Suffolk,s02353
Ridgefield,WA,Portland,Clark,s02354
Delran,NJ,Philadelphia,Burlington,s02355
Havre de Grace,MD,Baltimore,Harford,s02356
Guntersville,AL,Albertville,Marshall,s02357
Washington Township,NJ,New York,Morris,s02358
Glenvar Heights,FL,Miami-Fort Lauderdale,Miami-Dade,s02359
Steamboat Springs,CO,,Routt,s02360
Evans,CO,Greeley,Weld,s02361
Dandridge,TN,Morristown,Jefferson,s02362
Morton,IL,Peoria,Tazewell,s02363
Denville,NJ,New York,Morris,s02364
West Milford,NJ,New York,Passaic,s02365
Siler City,NC,Durham,Chatham,s02366
Fletcher,NC,Asheville,Henderson,s02367
Ocklawaha,FL,Ocala,Marion,s02368
Anoka,MN,Minneapolis-St Paul,Anoka,s02369
Covington,WA,Seattle,King,s02370
Susquehanna Township,PA,Harrisburg,Dauphin,s02371
Wolcott,CT,New Haven,New Haven,s02372
Delta Township,MI,Lansing,Eaton,s02373
Marco Island,FL,Naples,Collier,s02374
Purcellville,VA,Washington,Loudoun,s02375
Agawam,MA,Springfield,Hampden,s02376
Santa Fe Springs,CA,Los Angeles,Los Angeles,s02377
Bon Air,VA,Richmond,Chesterfield,s02378
Hockessin,DE,Philadelphia,New Castle,s02379
Frankfort,IL,Chicago,Will,s02380
Rose Hill,VA,Washington,Fairfax,s02381
Mountain Top,PA,Scranton,Luzerne,s02382
Town of Verona,WI,Madison,Dane,s02383
Town of Cedarburg,WI,Milwaukee,Ozaukee,s02384
Derwood,MD,Washington,Montgomery,s02385
Franklin Township,NJ,Philadelphia,Gloucester,s02386
Martin,TN,Martin,Weakley,s02387
Sandy,OR,Portland,Clackamas,s02388
West Hempfield Township,PA,Lancaster,Lancaster,s02389
Hinsdale,IL,Chicago,Du Page,s02390
Barrington,RI,Providence,Bristol,s02391
Town of Southbridge,MA,Worcester,Worcester,s02392
Deatsville,AL,Montgomery,Elmore,s02393
Wyckoff,NJ,New York,Bergen,s02394
Parrish,FL,Sarasota,Manatee,s02395
El Segundo,CA,Los Angeles,Los Angeles,s02396
Fairview Park,OH,Cleveland,Cuyahoga,s02397
South Orange,NJ,New York,Essex,s02398
Sunset,FL,Miami-Fort Lauderdale,Miami-Dade,s02399
Rio Rico,AZ,Nogales,Santa Cruz,s02400
Town of Webster,MA,Worcester,Worcester,s02401
Larchmont,NY,New York,Westchester,s02402
Pickens,SC,Greenville,Pickens,s02403
Ashland,MA,Boston,Middlesex,s02404
Covington,TN,Memphis,Tipton,s02405
Holmdel,NJ,New York,Monmouth,s02406
Jackson,OH,,Jackson,s02407
Eaton,OH,Dayton,Preble,s02408
Frenchtown Township,MI,Monroe,Monroe,s02409
Madisonville,TN,,Monroe,s02410
Artesia,CA,Los Angeles,Los Angeles,s02411
Piqua,OH,Dayton,Miami,s02412
Safety Harbor,FL,Tampa,Pinellas,s02413
North Bay Shore,NY,New York,Suffolk,s02414
Waterford,CT,New London,New London,s02415
Tanque Verde,AZ,Tucson,Pima,s02416
Rancho Mirage,CA,Riverside,Riverside,s02417
Ocean Acres,NJ,New York,Ocean,s02418
Saint Matthews,KY,Louisville/Jefferson County,Jefferson,s02419
Town of Amesbury,MA,Boston,Essex,s02420
San Anselmo,CA,San Francisco,Marin,s02421
Astoria,OR,Astoria,Clatsop,s02422
Town of Bellingham,MA,Boston,Norfolk,s02423
Lugoff,SC,Columbia,Kershaw,s02424
New Cumberland,PA,Harrisburg,Cumberland,s02425
Town of Geneva,NY,Rochester,Ontario,s02426
Yulee,FL,Jacksonville,Nassau,s02427
King,NC,Winston-Salem,Stokes,s02428
Johnston,IA,Des Moines,Polk,s02429
Dayton,NV,Fernley,Lyon,s02430
Buckley,WA,Seattle,Pierce,s02431
Nokomis,FL,Sarasota,Sarasota,s02432
Fairmont,WV,Fairmont,Marion,s02433
Carpinteria,CA,Santa Barbara,Santa Barbara,s02434
Northampton,MA,Springfield,Hampshire,s02435
Auburn,MA,Worcester,Worcester,s02436
North Babylon,NY,New York,Suffolk,s02437
Tumwater,WA,Olympia,Thurston,s02438
New Milford,NJ,New York,Bergen,s02439
Palm River-Clair Mel,FL,Tampa,Hillsborough,s02440
Ashwaubenon,WI,Green Bay,Brown,s02441
Hermitage,PA,Youngstown,Mercer,s02442
Abington,MA,Boston,Plymouth,s02443
Newport,KY,Cincinnati,Campbell,s02444
Forsyth,GA,Macon,Monroe,s02445
Secaucus,NJ,New York,Hudson,s02446
Stuart,FL,Port St. Lucie,Martin,s02447
North Decatur,GA,Atlanta,Dekalb,s02448
Okatie,SC,Hilton Head Island,Beaufort,s02449
Lansdale,PA,Philadelphia,Montgomery,s02450
Exeter,CA,Visalia,Tulare,s02451
Hazel Park,MI,Detroit,Oakland,s02452
Bryant,AR,Little Rock,Saline,s02453
Town of Olean,NY,Olean,Cattaraugus,s02454
Brookfield Center,CT,Stamford,Fairfield,s02455
Dover,FL,Tampa,Hillsborough,s02456
Swansea,MA,Providence,Bristol,s02457
Easthampton,MA,Springfield,Hampshire,s02458
Mount Clemens,MI,Detroit,Macomb,s02459
Roosevelt,NY,New York,Nassau,s02460
Seymour,CT,New Haven,New Haven,s02461
Shiloh,IL,St. Louis,Saint Clair,s02462
Town of Newtown,CT,Stamford,Fairfield,s02463
Waterloo,IL,St. Louis,Monroe,s02464
Clayton,OH,Dayton,Montgomery,s02465
Ashtabula,OH,Ashtabula,Ashtabula,s02466
Palos Hills,IL,Chicago,Cook,s02467
Central,SC,Greenville,Pickens,s02468
Cohoes,NY,Albany,Albany,s02469
Huntington,NY,New York,Suffolk,s02470
Harrisburg,NC,Charlotte,Cabarrus,s02471
Semmes,AL,Mobile,Mobile,s02472
Pleasant Prairie,WI,Chicago,Kenosha,s02473
Riverbank,CA,Modesto,Stanislaus,s02474
Lake Zurich,IL,Chicago,Lake,s02475
Ladson,SC,Charleston,Berkeley,s02476
El Reno,OK,Oklahoma City,Canadian,s02477
Blountville,TN,Kingsport,Sullivan,s02478
North Chicago,IL,Chicago,Lake,s02479
Holland,OH,Toledo,Lucas,s02480
Wilton,NY,Albany,Saratoga,s02481
Coolidge,AZ,Phoenix,Pinal,s02482
Chesnee,SC,Spartanburg,Spartanburg,s02483
Hanahan,SC,Charleston,Berkeley,s02484
West Columbia,SC,Columbia,Lexington,s02485
La Vista,NE,Omaha,Sarpy,s02486
Fairhaven,MA,Providence,Bristol,s02487
Phoenixville,PA,Philadelphia,Chester,s02488
Moraga,CA,San Francisco,Contra Costa,s02489
Prospect,KY,Louisville/Jefferson County,Jefferson,s02490
Town of Dryden,NY,Ithaca,Tompkins,s02491
Middle Smithfield Township,PA,East Stroudsburg,Monroe,s02492
Fort Lupton,CO,Greeley,Weld,s02493
Stillwater,MN,Minneapolis-St Paul,Washington,s02494
Metuchen,NJ,New York,Middlesex,s02495
Grosse Pointe Woods,MI,Detroit,Wayne,s02496
Arab,AL,Albertville,Marshall,s02497
South River,NJ,New York,Middlesex,s02498
Sugar Hill,GA,Atlanta,Gwinnett,s02499
Alamo,CA,San Francisco,Contra Costa,s02500
Wilkinsburg,PA,Pittsburgh,Allegheny,s02501
Altoona,IA,Des Moines,Polk,s02502
Town of Colchester,CT,New London,New London,s02503
Kingsburg,CA,Fresno,Fresno,s02504
Lowell Township,MI,Grand Rapids,Kent,s02505
Laconia,NH,Laconia,Belknap,s02506
Hampstead,MD,Baltimore,Carroll,s02507
Center Point,AL,Birmingham,Jefferson,s02508
West Norriton,PA,Philadelphia,Montgomery,s02509
Town of East Greenbush,NY,Albany,Rensselaer,s02510
Stanley,NC,Charlotte,Gaston,s02511
Montevallo,AL,Birmingham,Shelby,s02512
North Attleboro,MA,Providence,Bristol,s02513
Middleburg Heights,OH,Cleveland,Cuyahoga,s02514
Hubbard,OH,Youngstown,Trumbull,s02515
Joppa,MD,Baltimore,Harford,s02516
Saint Simons Island,GA,Brunswick,Glynn,s02517
Town of Delafield,WI,Milwaukee,Waukesha,s02518
Lebanon,OH,Cincinnati,Warren,s02519
Erie,CO,Greeley,Weld,s02520
Middleborough,MA,Boston,Plymouth,s02521
Floral Park,NY,New York,Nassau,s02522
Highland,MI,Detroit,Oakland,s02523
Madison,NJ,New York,Morris,s02524
Town of Mukwonago,WI,Milwaukee,Waukesha,s02525
Town of Tiverton,RI,Providence,Newport,s02526
Huron Township,MI,Detroit,Wayne,s02527
Alexandria,KY,Cincinnati,Campbell,s02528
Union City,GA,Atlanta,Fulton,s02529
Destin,FL,Destin,Okaloosa,s02530
Callahan,FL,Jacksonville,Nassau,s02531
Peyton,CO,Colorado Springs,El Paso,s02532
Warwick Township,PA,Lancaster,Lancaster,s02533
Hernando,FL,Homosassa Springs,Citrus,s02534
Goodlettsville,TN,Nashville,Davidson,s02535
Richlands,NC,Jacksonville,Onslow,s02536
Camano Island,WA,Oak Harbor,Island,s02537
Rye,NY,New York,Westchester,s02538
Helena,AL,Birmingham,Shelby,s02539
Clive,IA,Des Moines,Polk,s02540
Wyandanch,NY,New York,Suffolk,s02541
Plainfield Township,MI,Grand Rapids,Kent,s02542
Town of Potsdam,NY,Ogdensburg,Saint Lawrence,s02543
Hot Springs Village,AR,Little Rock,Saline,s02544
Aurora,OH,Akron,Portage,s02545
Town of Johnstown,NY,Gloversville,Fulton,s02546
Portage,WI,Madison,Columbia,s02547
Longmeadow,MA,Springfield,Hampden,s02548
Watertown,CT,Torrington,Litchfield,s02549
Westchester,IL,Chicago,Cook,s02550
Cinnaminson,NJ,Philadelphia,Burlington,s02551
Gloversville,NY,Gloversville,Fulton,s02552
Whitemarsh Township,PA,Philadelphia,Montgomery,s02553
Port Washington,NY,New York,Nassau,s02554
Crete,IL,Chicago,Will,s02555
Laguna Woods,CA,Los Angeles,Orange,s02556
Vermilion,OH,Cleveland,Lorain,s02557
Sayville,NY,New York,Suffolk,s02558
Willow Spring,NC,Raleigh,Wake,s02559
Keaau,HI,Hilo,Hawaii,s02560
East Longmeadow,MA,Springfield,Hampden,s02561
Lincolnia,VA,Washington,Fairfax,s02562
