Region,State,Metro,County,Code
Roanoke,VA,Roanoke,Roanoke City,s00130
Santa Clarita,CA,Los Angeles,Los Angeles,s00131
Rancho Cucamonga,CA,Riverside,San Bernardino,s00132
Naperville,IL,Chicago,Du Page,s00133
El Cajon,CA,San Diego,San Diego,s00134
Fredericksburg,VA,Washington,Spotsylvania,s00135
Tempe,AZ,Phoenix,Maricopa,s00136
Vancouver,WA,Portland,Clark,s00137
Murfreesboro,TN,Nashville,Rutherford,s00138
Clarksville,TN,Clarksville,Montgomery,s00139
Elk Grove,CA,Sacramento,Sacramento,s00140
Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,s00141
Pueblo,CO,Pueblo,Pueblo,s00142
Springfield,MA,Springfield,Hampden,s00143
Fairfax,VA,Washington,Fairfax,s00144
Peoria,AZ,Phoenix,Maricopa,s00145
Boynton Beach,FL,Miami-Fort Lauderdale,Palm Beach,s00146
Pomona,CA,Los Angeles,Los Angeles,s00147
Paterson,NJ,New York,Passaic,s00148
Lakewood,CO,Denver,Jefferson,s00149
Visalia,CA,Visalia,Tulare,s00150
Torrance,CA,Los Angeles,Los Angeles,s00151
Charleston,SC,Charleston,Charleston,s00152
Dayton,OH,Dayton,Montgomery,s00153
Bridgeport,CT,Stamford,Fairfield,s00154
Canton,OH,Canton,Stark,s00155
Yuma,AZ,Yuma,Yuma,s00156
Salem,OR,Salem,Marion,s00157
Hayward,CA,San Francisco,Alameda,s00158
Alexandria,VA,Washington,Alexandria City,s00159
Hollywood,FL,Miami-Fort Lauderdale,Broward,s00160
Newark,DE,Philadelphia,New Castle,s00161
Sunnyvale,CA,San Jose,Santa Clara,s00162
Eugene,OR,Eugene,Lane,s00163
Hampton,VA,Virginia Beach,Hampton City,s00164
Pasadena,CA,Los Angeles,Los Angeles,s00165
Cumming,GA,Atlanta,Forsyth,s00166
Saginaw,MI,Saginaw,Saginaw,s00167
Santa Maria,CA,Santa Barbara,Santa Barbara,s00168
Inglewood,CA,Los Angeles,Los Angeles,s00169
Compton,CA,Los Angeles,Los Angeles,s00170
Orange,CA,Los Angeles,Orange,s00171
Savannah,GA,Savannah,Chatham,s00172
Renton,WA,Seattle,King,s00173
Fullerton,CA,Los Angeles,Orange,s00174
Warren,MI,Detroit,Macomb,s00175
Hamilton,OH,Cincinnati,Butler,s00176
Escondido,CA,San Diego,San Diego,s00177
Sterling Heights,MI,Detroit,Macomb,s00178
Gainesville,GA,Gainesville,Hall,s00179
New Haven,CT,New Haven,New Haven,s00180
Flint,MI,Flint,Genesee,s00181
Cary,NC,Raleigh,Wake,s00182
Victorville,CA,Riverside,San Bernardino,s00183
Simi Valley,CA,Ventura,Ventura,s00184
Miramar,FL,Miami-Fort Lauderdale,Broward,s00185
Concord,CA,San Francisco,Contra Costa,s00186
Thornton,CO,Denver,Adams,s00187
Elizabeth,NJ,New York,Union,s00188
East Los Angeles,CA,Los Angeles,Los Angeles,s00189
Hartford,CT,Hartford,Hartford,s00190
Bellevue,WA,Seattle,King,s00191
Coral Springs,FL,Miami-Fort Lauderdale,Broward,s00192
Stamford,CT,Stamford,Fairfield,s00193
Queen Creek,AZ,Phoenix,Pinal,s00194
Joliet,IL,Chicago,Will,s00195
Vallejo,CA,Vallejo,Solano,s00196
Frederick,MD,Washington,Frederick,s00197
Allentown,PA,Allentown,Lehigh,s00198
Lansing Township,MI,Lansing,Ingham,s00199
Hemet,CA,Riverside,Riverside,s00200
Surprise,AZ,Phoenix,Maricopa,s00201
Clearwater,FL,Tampa,Pinellas,s00202
Athens,GA,Athens,Clarke,s00203
Falls Church,VA,Washington,Fairfax,s00204
New Port Richey,FL,Tampa,Pasco,s00205
Santa Clara,CA,San Jose,Santa Clara,s00206
Temecula,CA,Riverside,Riverside,s00207
Cedar Rapids,IA,Cedar Rapids,Linn,s00208
Westminster,CO,Denver,Adams,s00209
Miami Gardens,FL,Miami-Fort Lauderdale,Miami-Dade,s00210
Vista,CA,San Diego,San Diego,s00211
Ann Arbor,MI,Ann Arbor,Washtenaw,s00212
Costa Mesa,CA,Los Angeles,Orange,s00213
Spartanburg,SC,Spartanburg,Spartanburg,s00214
Springfield,IL,Springfield,Sangamon,s00215
Manchester,NH,Manchester,Hillsborough,s00216
Norman,OK,Oklahoma City,Cleveland,s00217
Berkeley,CA,San Francisco,Alameda,s00218
Ventura,CA,Ventura,Ventura,s00219
Stone Mountain,GA,Atlanta,Dekalb,s00220
Downey,CA,Los Angeles,Los Angeles,s00221
Roseville,CA,Sacramento,Placer,s00222
Waterbury,CT,New Haven,New Haven,s00223
Clovis,CA,Fresno,Fresno,s00224
Tuscaloosa,AL,Tuscaloosa,Tuscaloosa,s00225
Sparks,NV,Reno,Washoe,s00226
Redding,CA,Redding,Shasta,s00227
Chico,CA,Chico,Butte,s00228
West Covina,CA,Los Angeles,Los Angeles,s00229
Lowell,MA,Boston,Middlesex,s00230
Norcross,GA,Atlanta,Gwinnett,s00231
Peoria,IL,Peoria,Peoria,s00232
Rock Hill,SC,Charlotte,York,s00233
Elgin,IL,Chicago,Kane,s00234
Concord,NC,Charlotte,Cabarrus,s00235
Carlsbad,CA,San Diego,San Diego,s00236
Wilmington,NC,Wilmington,New Hanover,s00237
Norwalk,CA,Los Angeles,Los Angeles,s00238
Springfield,VA,Washington,Fairfax,s00239
Tracy,CA,Stockton,San Joaquin,s00240
Lakeland,FL,Lakeland,Polk,s00241
Duluth,GA,Atlanta,Gwinnett,s00242
Cambridge,MA,Boston,Middlesex,s00243
Bend,OR,Bend,Deschutes,s00244
West Chester,PA,Philadelphia,Chester,s00245
Douglasville,GA,Atlanta,Douglas,s00246
Murrieta,CA,Riverside,Riverside,s00247
Green Bay,WI,Green Bay,Brown,s00248
Arvada,CO,Denver,Jefferson,s00249
Palm Bay,FL,Melbourne,Brevard,s00250
Laurel,MD,Washington,Prince Georges,s00251
Broken Arrow,OK,Tulsa,Tulsa,s00252
Burbank,CA,Los Angeles,Los Angeles,s00253
West Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,s00254
Everett,WA,Seattle,Snohomish,s00255
Davenport,IA,Davenport,Scott,s00256
Grand Junction,CO,Grand Junction,Mesa,s00257
Erie,PA,Erie,Erie,s00258
Fairfield,CA,Vallejo,Solano,s00259
Vero Beach,FL,Vero Beach,Indian River,s00260
San Leandro,CA,San Francisco,Alameda,s00261
Centennial,CO,Denver,Arapahoe,s00262
Vacaville,CA,Vallejo,Solano,s00263
Edison,NJ,New York,Middlesex,s00264
Madera,CA,Madera,Madera,s00265
Hesperia,CA,Riverside,San Bernardino,s00266
Albany,GA,Albany,Dougherty,s00267
Pompano Beach,FL,Miami-Fort Lauderdale,Broward,s00268
Jacksonville,NC,Jacksonville,Onslow,s00269
Dearborn,MI,Detroit,Wayne,s00270
Santa Cruz,CA,Santa Cruz,Santa Cruz,s00271
Albany,NY,Albany,Albany,s00272
Saint Augustine,FL,Jacksonville,Saint Johns,s00273
Columbia,MD,Baltimore,Howard,s00274
Portsmouth,VA,Virginia Beach,Portsmouth City,s00275
Clinton Township,MI,Detroit,Macomb,s00276
San Mateo,CA,San Francisco,San Mateo,s00277
Napa,CA,Napa,Napa,s00278
Antioch,CA,San Francisco,Contra Costa,s00279
Livonia,MI,Detroit,Wayne,s00280
South Gate,CA,Los Angeles,Los Angeles,s00281
Beaverton,OR,Portland,Washington,s00282
Kennesaw,GA,Atlanta,Cobb,s00283
Rialto,CA,Riverside,San Bernardino,s00284
Daly City,CA,San Francisco,San Mateo,s00285
Town of Greece,NY,Rochester,Monroe,s00286
Spring Hill,FL,Tampa,Hernando,s00287
New Bedford,MA,Providence,Bristol,s00288
Indio,CA,Riverside,Riverside,s00289
Hillsboro,OR,Portland,Washington,s00290
Chapel Hill,NC,Durham,Orange,s00291
Mission Viejo,CA,Los Angeles,Orange,s00292
High Point,NC,Greensboro,Guilford,s00293
Newton,MA,Boston,Middlesex,s00294
Brockton,MA,Boston,Plymouth,s00295
Anderson,SC,Anderson,Anderson,s00296
Apopka,FL,Orlando,Orange,s00297
Davie,FL,Miami-Fort Lauderdale,Broward,s00298
Sandy Springs,GA,Atlanta,Fulton,s00299
Riverview,FL,Tampa,Hillsborough,s00300
Lakewood Township,NJ,New York,Ocean,s00301
Kenosha,WI,Chicago,Kenosha,s00302
Midlothian,VA,Richmond,Chesterfield,s00303
Johnson City,TN,Johnson City,Washington,s00304
Orange Park,FL,Jacksonville,Clay,s00305
Plainfield,IL,Chicago,Will,s00306
Annapolis,MD,Baltimore,Anne Arundel,s00307
Champaign,IL,Champaign-Urbana,Champaign,s00308
Bethlehem Township,PA,Allentown,Northampton,s00309
Hawthorne,CA,Los Angeles,Los Angeles,s00310
Franklin,TN,Nashville,Williamson,s00311
Quincy,MA,Boston,Norfolk,s00312
Lithonia,GA,Atlanta,Dekalb,s00313
Valdosta,GA,Valdosta,Lowndes,s00314
Greeley,CO,Greeley,Weld,s00315
El Monte,CA,Los Angeles,Los Angeles,s00316
Kent,WA,Seattle,King,s00317
Acworth,GA,Atlanta,Cobb,s00318
Santa Monica,CA,Los Angeles,Los Angeles,s00319
Boulder,CO,Boulder,Boulder,s00320
Bowie,MD,Washington,Prince Georges,s00321
Federal Way,WA,Seattle,King,s00322
Livermore,CA,San Francisco,Alameda,s00323
McDonough,GA,Atlanta,Henry,s00324
Kennewick,WA,Kennewick,Benton,s00325
Lexington,SC,Columbia,Lexington,s00326
Lynn,MA,Boston,Essex,s00327
Waukegan,IL,Chicago,Lake,s00328
Canton,MI,Detroit,Wayne,s00329
Woodstock,GA,Atlanta,Cherokee,s00330
Lawton,OK,Lawton,Comanche,s00331
Toms River,NJ,New York,Ocean,s00332
Holland Township,MI,Holland,Ottawa,s00333
Westminster,CA,Los Angeles,Orange,s00334
Loveland,CO,Fort Collins,Larimer,s00335
Medford,OR,Medford,Jackson,s00336
Yakima,WA,Yakima,Yakima,s00337
Roswell,GA,Atlanta,Fulton,s00338
Reading,PA,Reading,Berks,s00339
Nashua,NH,Manchester,Hillsborough,s00340
Duluth,MN,Duluth,Saint Louis,s00341
Williamsburg,VA,Virginia Beach,James City,s00342
Highlands Ranch,CO,Denver,Douglas,s00343
Fall River,MA,Providence,Bristol,s00344
Sterling,VA,Washington,Loudoun,s00345
Cleveland,TN,Cleveland,Bradley,s00346
Germantown,MD,Washington,Montgomery,s00347
Norwalk,CT,Stamford,Fairfield,s00348
Plantation,FL,Miami-Fort Lauderdale,Broward,s00349
Santa Barbara,CA,Santa Barbara,Santa Barbara,s00350
Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,s00351
Sunrise,FL,Miami-Fort Lauderdale,Broward,s00352
Newnan,GA,Atlanta,Coweta,s00353
Herndon,VA,Washington,Fairfax,s00354
Richmond,CA,San Francisco,Contra Costa,s00355
Town of Poughkeepsie,NY,Poughkeepsie,Dutchess,s00356
Fort Smith,AR,Fort Smith,Sebastian,s00357
Warner Robins,GA,Warner Robins,Houston,s00358
Trenton,NJ,Trenton,Mercer,s00359
Deltona,FL,Daytona Beach,Volusia,s00360
Bloomington,IL,Bloomington,McLean,s00361
Largo,FL,Tampa,Pinellas,s00362
Bloomington,MN,Minneapolis-St Paul,Hennepin,s00363
Macon,GA,Macon,Bibb,s00364
Westland,MI,Detroit,Wayne,s00365
Whittier,CA,Los Angeles,Los Angeles,s00366
Jackson,TN,Jackson,Madison,s00367
Conyers,GA,Atlanta,Rockdale,s00368
Bremerton,WA,Bremerton,Kitsap,s00369
Flagstaff,AZ,Flagstaff,Coconino,s00370
Glen Burnie,MD,Baltimore,Anne Arundel,s00371
Clifton,NJ,New York,Passaic,s00372
Milton,FL,Pensacola,Santa Rosa,s00373
Sumter,SC,Sumter,Sumter,s00374
Cicero,IL,Chicago,Cook,s00375
Pittsburg,CA,San Francisco,Contra Costa,s00376
Kingsport,TN,Kingsport,Sullivan,s00377
Citrus Heights,CA,Sacramento,Sacramento,s00378
San Marcos,CA,San Diego,San Diego,s00379
Alhambra,CA,Los Angeles,Los Angeles,s00380
Lehigh Acres,FL,Fort Myers,Lee,s00381
Brandon,FL,Tampa,Hillsborough,s00382
Arden-Arcade,CA,Sacramento,Sacramento,s00383
Edmond,OK,Oklahoma City,Oklahoma,s00384
Chino,CA,Riverside,San Bernardino,s00385
Buena Park,CA,Los Angeles,Orange,s00386
Parma,OH,Cleveland,Cuyahoga,s00387
Longmont,CO,Boulder,Boulder,s00388
Troy,MI,Detroit,Oakland,s00389
Sanford,FL,Orlando,Seminole,s00390
Lexington,NC,Thomasville,Davidson,s00391
Danbury,CT,Stamford,Fairfield,s00392
Parker,CO,Denver,Douglas,s00393
Watsonville,CA,Santa Cruz,Santa Cruz,s00394
Dalton,GA,Dalton,Whitfield,s00395
Town 'n' Country,FL,Tampa,Hillsborough,s00396
Walnut Creek,CA,San Francisco,Contra Costa,s00397
City of Spokane Valley,WA,Spokane,Spokane,s00398
Gresham,OR,Portland,Multnomah,s00399
Utica,MI,Detroit,Macomb,s00400
Thousand Oaks,CA,Ventura,Ventura,s00401
